twitter,url,name,location
mo_independent,https://missouriindependent.com/,Missouri Independent,Jefferson City
modbee,http://www.modbee.com,The Modesto Bee,Modesto
mongabay,http://www.mongabay.com/,Mongabay,Menlo Park
moreperfectus,https://perfectunion.us/,More Perfect Union,Washington
morningbrew,https://www.morningbrew.com/,Morning Brew,New York City
motherjones,https://www.motherjones.com/,Mother Jones,San Francisco
msfreepress,https://www.mississippifreepress.org/,Mississippi Free Press,Jackson
msn,https://www.msn.com/,MSN,Redmond
msnbc,https://www.msnbc.com/,MSNBC,New York City
mstodaynews,https://mississippitoday.org/,Mississippi Today,Jackson
mtfreepress,https://montanafreepress.org/,Montana Free Press,Helena
mtnstspotlight,https://mountainstatespotlight.org/,Mountain State Spotlight,Charleston
mtshastanews,https://www.mtshastanews.com/,Mount Shasta Herald,Mt. Shasta
mtvnews,https://www.mtv.com/news/,MTV News,New York City
mwtnews,https://www.mrt.com/,Midland Reporter-Telegram,Midland
mydelmarvanow,https://www.delmarvanow.com/,Salisbury Daily Times,Salisbury
mydesert,https://www.desertsun.com/,The Desert Sun,Palm Springs
natgeo,https://www.nationalgeographic.com/,National Geographic,Washington
nationaljournal,https://www.nationaljournal.com/,National Journal,Washington
nbcbayarea,https://www.nbcbayarea.com/,NBC Bay Area,San Francisco
nbcchicago,https://www.nbcchicago.com/,NBC Chicago,Chicago
nbcconnecticut,https://www.nbcconnecticut.com/,NBC Connecticut,West Hartford
nbcdfw,https://www.nbcdfw.com/,NBC DFW,Dallas
nbcnews,https://www.nbcnews.com/,NBC News,New York City
nbcphiladelphia,https://www.nbcphiladelphia.com/,NBC10 Philadelphia,Philadelphia
nbsunjournal,https://www.newbernsj.com/,New Bern Sun Journal,New Bern
ncronline,https://www.ncronline.org/,National Catholic Reporter,Kansas City
ndn,https://www.naplesnews.com/,Naples Daily News,Naples
nebpublicmedia,https://nebraskapublicmedia.org/en/,Nebraska Public Media,Lincoln
neheadlines,https://www.thenewsenterprise.com/,Hardin News-Enterprise,Hardin County
newarkadvocate,https://www.newarkadvocate.com/,Newark Advocate,Newark
newrepublic,https://newrepublic.com/,New Republic,New York City
news12nj,https://newjersey.news12.com/,News12NJ,Edison
news3lv,https://news3lv.com/,KSNV News 3,Las Vegas
newschannelne,https://metro.newschannelnebraska.com/,News Channel Nebraska,Norfolk
newsday,https://www.newsday.com/,Newsday,Long Island
newshour,https://www.pbs.org/newshour/,PBS News Hour,Washington
newsleadernow,https://www.newsleader.com/,Staunton Daily News Leader,Staunton
newsmax,https://www.newsmax.com/,Newsmax,Boca Raton
newsminer,https://www.newsminer.com/,Fairbanks Daily News-Miner,Fairbanks
newsobserver,http://www.newsobserver.com,The News And Observer,Raleigh
newspressnow,https://www.newspressnow.com/,St. Joseph News Press,St. Joseph
newsrepublican,https://www.newsrepublican.com/,Boone News Republican,Boone
newstribune,https://www.newstribune.com/,Jefferson City News Tribune,Jefferson City
newsweek,https://www.newsweek.com/,Newsweek,New York City
newyorker,https://www.newyorker.com/,New Yorker,New York City
nextcityorg,https://nextcity.org/,Next City,Philadelphia
nhpr,https://www.nhpr.org/,New Hampshire Public Radio,Manchester
nhregister,https://www.nhregister.com/,New Haven Register,New Haven
niemanlab,https://www.niemanlab.org/,Nieman Lab,Cambridge
njherald,https://www.njherald.com/,New Jersey Herald,Newton
not_the_bee,https://notthebee.com/,Not the Bee,Jupiter
northjersey,https://www.northjersey.com/,northjersey.com,Hackensack
norwichbulletin,https://www.norwichbulletin.com/,The Norwich Bulletin,Norwich
npr,https://www.npr.org/,NPR,Washington
nro,https://www.nationalreview.com/,National Review,Washington
ntdaily,https://www.ntdaily.com/,North Texas Daily,Denton
nwademgaz,https://www.nwaonline.com/,Northwest Arkansas Democrat-Gazette,Fayetteville
nwfdailynews,https://www.nwfdailynews.com/,Northwest Florida Daily News,Fort Walton Beach
ny1,https://www.ny1.com/,NY1,New York City
nybooks,https://www.nybooks.com/,New York Review of Books,New York City
nydailynews,https://www.nydailynews.com/,Daily News,New York City
nymag,https://nymag.com/,New York,New York City
nypost,https://nypost.com/,New York Post,New York City
nysfocus,http://www.nysfocus.com/,New York Focus,New York City
nytimes,https://www.nytimes.com,New York Times,New York City
oaklandside,https://oaklandside.org/,The Oaklandside,Oakland
oann,https://www.oann.com/,One America News Network,San Diego
objectivejrn,https://objectivejournalism.org/,Objective,Los Angeles
ocalastarbanner,https://www.ocala.com/,Ocala StarBanner,Ocala
ocregister,https://www.ocregister.com/,Orange County Register,Anaheim
oglethorpe_echo,https://www.theoglethorpeecho.com/,Oglethorpe Echo,Oglethorpe
okayplayer,https://www.okayplayer.com/,okayplayer,Philadelphia
oklahomawatch,https://oklahomawatch.org/,Oklahoma Watch,Oklahoma City
onlineathens,https://www.onlineathens.com/,Athens Banner-Herald,Athens
onwnews,https://www.thenorthwestern.com/,Oshkosh Northwestern,Oshkosh
opensecretsdc,http://www.opensecrets.org/,OpenSecrets,Washington
openvallejo,https://www.openvallejo.org/,Open Vallejo,Vallejo
orcapchronicle,https://oregoncapitalchronicle.com/,Oregon Capital Chronicle,Salem
oregonian,https://www.oregonlive.com/,Oregonian,Portland
oronline,https://observer-reporter.com/,Observer-Reporter,Washington
ottumwacourier,https://www.ottumwacourier.com/,Ottumwa Courier,Ottumwa
owhnews,https://omaha.com/,Omaha World Herald,Omaha
pagesix,https://pagesix.com/,Page Six,New York City
patriotledger,https://www.patriotledger.com/,The Patriot Ledger,Quincy
pbpost,https://www.palmbeachpost.com/,The Palm Beach Post,West Palm Beach
pcnewsherald,https://www.portclintonnewsherald.com/,Port Clinton News Herald,Port Clinton
pekindailytimes,https://www.pekintimes.com/,Pekin Daily Times,Pekin
peninsupress,https://peninsulapress.com/,Peninsula Press,Palo Alto
people,https://people.com/,People,New York City
petoskeynews,https://www.petoskeynews.com/,Petoskey News-Review,Petoskey
phillyinquirer,https://www.inquirer.com/,Philadelphia Inquirer,Philadelphia
phillytrib,https://www.phillytrib.com/,Philadelphia Tribune,Philadelphia
phoenixluc,https://loyolaphoenix.com/,Loyola Phoenix,Chicago
pi_news,https://www.pal-item.com/,Richmond Palladium-Item,Richmond
pinjnews,https://pinjnews.org/,Pittsburgh Institute for Nonprofit Journalism,Pittsburgh
pioneerpress,https://www.twincities.com/,Twin Cities Pioneer Press,St. Paul
pitchfork,https://pitchfork.com/,Pitchfork,Chicago
pittsburghpg,https://www.post-gazette.com/,Pittsburgh Post-Gazette,Pittsburgh
pjstar,https://www.pjstar.com/,Peoria Journal Star,Peoria
platformer,https://www.platformer.news/,Platformer,San Francisco
pnj,https://www.pnj.com/,Pensacola News Journal,Pensacola
poconorecord,https://www.poconorecord.com/,Pocono Record,Stroudsburg
pointreyeslight,https://www.ptreyeslight.com/,Point Reyes Light,Point Reyes
pokjournal,https://www.poughkeepsiejournal.com/,Poughkeepsie Journal,Poughkeepsie
politico,https://www.politico.com/,POLITICO,Washington
politifact,https://www.politifact.com/,Politifact ,Washington
ponews,https://www.publicopiniononline.com/,Chambersburg Public Opinion,Chambersburg
portlandmercury,https://www.portlandmercury.com/,Portland Mercury,Portland
postandcourier,https://www.postandcourier.com/,Post and Courier,Charleston
postcrescent,https://www.postcrescent.com/,Appleton Post Crescent,Appleton
powerlineus,https://www.powerlineblog.com/,Power Line,Washington
presscitizen,https://www.press-citizen.com/,Iowa City Press-Citizen,Iowa City
pressconnects,https://www.pressconnects.com/,Binghamton Press & Sun-Bulletin,Binghamton
pressenterprise,https://www.pe.com/,Riverside Press-Enterprise,Riverside
pressherald,https://www.pressherald.com/,Portland Press Herald,Portland
prismreports,https://prismreports.org/,Prism,Oakland
prisonjourn,https://prisonjournalismproject.org/,Prison Journalism Project,Chicago
progressindex,https://www.progress-index.com/,The Progress-Index,Petersburg
projo,https://www.providencejournal.com/,The Providence Journal,Providence
proof,https://www.proofnews.org/,Proof News,New York City
propublica,https://www.propublica.org/,ProPublica,New York City
publicintegrity,https://publicintegrity.org/,Center for Public Integrity,Washington
publicopinionsd,https://www.thepublicopinion.com/,Watertown Public Opinion,Watertown
pucknews,https://puck.news/,Puck,New York City
pulitzercenter,http://www.pulitzercenter.org/,Pulitzer Center,Washington
punchbowlnews,https://punchbowl.news/,Punchbowl News,Washington
qctimes,https://qctimes.com/,Quad City Times,Davenport
qz,https://qz.com/,Quartz,New York City
rawstory,https://www.rawstory.com/,Raw Story,Washington
realclearnews,https://www.realclearpolitics.com/,Real Clear Politics,Washington
realdailywire,https://www.dailywire.com/,Daily Wire,Nashville
reason,https://reason.com/,Reason,Washington
reckonnews,https://www.reckon.news/,Reckon,Montgomery
recordnet,https://www.recordnet.com/,Stockton Record,Stockton
recordonline,https://www.recordonline.com/,Times Herald-Record,Middletown
recordpub,https://www.record-courier.com/,Kent Ravenna Record-Courier,Kent
redstate,https://redstate.com/,RedState,Washington
reductress,https://reductress.com/,Reductress,New York City
registerguard,https://www.registerguard.com/,The Register Guard,Eugene
reporternews,https://www.reporternews.com/,Abilene Reporter News,Abilene
restofworld,https://restofworld.org/,Rest of World,New York City
reveal,https://revealnews.org/,Reveal,Emeryville
reviewjournal,https://www.reviewjournal.com/,Las Vegas Review-Journal,Las Vegas
rgj,https://www.rgj.com/,Reno Gazette-Journal,Reno
rgvfox,https://foxnewssouthtexas.com/,Fox South Texas,McAllen
rhherald,http://www.heraldonline.com,The Herald,Rock Hill
ringer,https://www.theringer.com/,Ringer,Los Angeles
rollcall,https://rollcall.com/,Roll Call,Washington
rollingstone,https://www.rollingstone.com/,Rolling Stone,New York City
romenewstribune,https://www.northwestgeorgianews.com/rome,Rome News-Tribune,Rome
rtdnews,https://richmond.com/,Richmond Times-Dispatch,Richmond
ruidosonews,https://www.ruidosonews.com/,Ruidoso News,Ruidoso
sacbee_news,https://www.sacbee.com/,Sacramento Bee,Sacramento
sahanjournal,https://sahanjournal.com/,Sahan Journal,Minneapolis
salem_statesman,https://www.statesmanjournal.com/,Salem Statesman Journal,Salem
salinajournal,https://www.salina.com/,Salina Journal,Salina
salnews,https://www.thecalifornian.com/,The Salinas Californian,Salinas
salon,https://www.salon.com/,Salon,New York City
savannahnow,https://www.savannahnow.com,Savannah Morning News,Savannah
sbnation,https://www.sbnation.com/,SB Nation,New York City
scalawagmag,https://scalawagmagazine.org/,Scalawag,Durham
scotusblog,https://www.scotusblog.com/,SCOTUS Blog,Washington
scsentinel,https://www.santacruzsentinel.com/,Santa Cruz Sentinel,Santa Cruz
